address,price,details
4675+N+Bellflower+Blvd+APT+2,"$1,900/m",1 bd1 ba 800 sqft
1945+Cedar+Ave,"$1,695/m",2 bds 1 ba 900 sqft
2234+Santa+Fe+Ave+APT+18,"$1,625/m",2 bds 1 ba 536 sqft
633+East+1st+Street+|+633+E+1st+St,"$1,315+ ","Studio$1,550+ 1 bd"
1451+Roycroft+Ave+APT+2,"$1,650/m",1 bd1 ba 520 sqft
E+Sunrise+Blvd,"$2,450/m","3 bds 2 ba 1,516 sqft"
2364+Lime+Ave,"$2,250+ ",3 bds 
1483+Atlantic+Ave,"$1,100+ ",Studio
1746+E+10th+St+#+1746+E,"$1,850/m",2 bds 1 ba -- sqft
1862+Magnolia+Avenue+|+1862+Magnolia+Ave,"$2,499+ ",3 bds 
2323+E+7th+St+#+2323+E,"$1,595/m",1 bd1 ba -- sqft
2729+Ladoga+Ave,"$3,700/m","3 bds 2 ba 1,672 sqft"
2925+E+7th+St,"$1,800+ ",2 bds 
3221+E+Wilton+St,"$1,400/m",1 bd1 ba -- sqft
1276+Chestnut+Ave+APT+6,"$1,500/m",1 bd1 ba -- sqft
4339+Elm+Ave,"$1,750+ ",2 bds 
1026+Cerritos+Ave,"$1,950+ ",2 bds 
6050+Linden+Ave+#+6050,"$1,800/m",2 bds 1 ba -- sqft
Fountain+View+Apartments+|+2301+E+Market+St,"$1,354 S","tudio$1,682 1 bd$2,048+ 2 bds "
4148+Walnut+Ave,"$3,495/m","4 bds 2 ba 1,521 sqft"
4327+Elm+Ave+APT+2,"$1,650/m",2 bds 1 ba 700 sqft
