address,price,details
850+E+Ocean+Blvd+UNIT+1501,"$660,000","1 bd1 ba 1,013 sqft"
6523+E+Monlaco+Rd,$--,"4 bds 3 ba 2,056 sqft"
1521+Locust+Ave+APT+14,"$359,000","2 bds 2 ba 1,075 sqft"
512+Almond+Ave,"$799,000","4 bds 2 ba 1,490 sqft"
8018+Dorado+Cir,"$929,990","4 bds 4 ba 2,465 sqft"
5571+E+Monlaco+Rd,"Est. $629,002","2 bds 1 ba 1,204 sqft"
1993+Lemon+Ave,"Est. $388,223",2 bds 1 ba 660 sqft
2481+Terraine+Ave,"$1,100,000","5 bds 5 ba 3,058 sqft"
40+Belmont+Ave,"$1,850,000","1 bd2 ba 2,378 sqft"
4920+Brook+Ave,"$50,000",2 bds 1 ba 400 sqft
1+3rd+Pl+UNIT+805,"$799,000","2 bds 2 ba 1,251 sqft"
1140+E+Ocean+Blvd+UNIT+334,"$519,000",1 bd1 ba 732 sqft
3451+E+Janice+St,"Est. $589,340","4 bds 2 ba 1,200 sqft"
2125+Pine+Ave,"$546,999","3 bds 1 ba 1,339 sqft"
388+E+Ocean+Blvd+UNIT+410,"$599,000",2 bds 2 ba 990 sqft
1802+Elmfield+Ave,"Est. $1,019,642","6 bds 3 ba 2,703 sqft"
326+Hermosa+Ave+APT+2,"$339,000",1 bd1 ba 680 sqft
335+E+Marker+Ln,"$560,000","4 bds 3 ba 1,931 sqft"
488+E+Ocean+Blvd+UNIT+P1,"$1,075,000","3 bds 4 ba 2,285 sqft"
6550+E+Espanita+St,"Est. $890,111","3 bds 2 ba 2,309 sqft"
335+Cedar+Ave+UNIT+307,"$265,000",1 bd1 ba 515 sqft
2256+San+Anseline+Ave,"$1,815,000","8 bds 6 ba 4,404 sqft"
1043+E+Terrace+Dr,"Est. $632,603","5 bds 2 ba 1,705 sqft"
784+Stanley+Ave,"$1,250,000","6 bds 6 ba 3,156 sqft"
4821+E+Ocean+Blvd+#+AB,"Est. $1,291,304","4 bds 3 ba 2,524 sqft"
3060+Linden+Ave,"$1,150,000","3 bds 3 ba 2,584 sqft"
658+Coronado+Ave,"$1,000,000","4 bds 3 ba 2,063 sqft"
2340+Gale+Ave,"Est. $626,946","6 bds 3 ba 3,200 sqft"
380+Panama+Ave,"Est. $1,994,945","5 bds 5 ba 5,050 sqft"
2507+E+15th+St+UNIT+313,"$349,900",2 bds 2 ba 842 sqft
3693+Palo+Verde+Ave,"$732,680","3 bds 3 ba 1,813 sqft"
1901+E+Ocean+Blvd+UNIT+205,"$749,000","2 bds 3 ba 1,883 sqft"
3939+E+Allin+St+UNIT+108,"$429,000",1 bd1 ba 685 sqft
1+62nd+Pl+UNIT+302,"$995,000","2 bds 2 ba 1,221 sqft"
3751+Olive+Ave,"Est. $656,783",2 bds 1 ba 981 sqft
7101+Marina+Pacifica+Dr+S,"$535,000",1 bd1 ba 828 sqft
908+Walnut+Ave,"$725,000","3 bds 1 ba 1,012 sqft"
100+Esperanza+Ave+#+4,"Est. $393,134",2 bds 1 ba 946 sqft
