,address,price,details,zipcode,lat,lng,zpid,link
158,402 E 1st St UNIT 202,"$2,100/m",1 bd1 ba 800 sqft,90802,33.767868,-118.187452,2081570147,https://www.zillow.com/homedetails/402-E-1st-St-UNIT-202-Long-Beach-CA-90802/2081570147_zpid/
159,677 Ultimo Ave,"$3,495/m","2 bds 1.5 ba 1,600 sqft",90814,33.774896,-118.124453,2098470693,https://www.zillow.com/homedetails/677-Ultimo-Ave-Long-Beach-CA-90814/2098470693_zpid/
160,577 Walnut Ave APT B,"$1,225/m",Studio1 ba 375 sqft,90802,33.774096,-118.172588,2089039024,https://www.zillow.com/homedetails/577-Walnut-Ave-APT-B-Long-Beach-CA-90802/2089039024_zpid/
162,354 Hermosa Ave # 4,"$1,650/m",1 bd1 ba -- sqft,90802,33.771173,-118.169095,2081586360,https://www.zillow.com/homedetails/354-Hermosa-Ave-4-Long-Beach-CA-90802/2081586360_zpid/
164,2357 Magnolia Ave,"$2,800/m","3 bds 2 ba 1,100 sqft",90806,33.799941,-118.198403,21192473,https://www.zillow.com/homedetails/2357-Magnolia-Ave-Long-Beach-CA-90806/21192473_zpid/
165,1135 Raymond Ave APT 03,"$1,695/m",2 bds 1 ba -- sqft,90804,33.781867,-118.164693,2082313284,https://www.zillow.com/homedetails/1135-Raymond-Ave-APT-03-Long-Beach-CA-90804/2082313284_zpid/
166,1724 Obispo Ave APT 2,"$1,625/m",1 bd1 ba 600 sqft,90804,33.788596,-118.154262,2120450407,https://www.zillow.com/homedetails/1724-Obispo-Ave-APT-2-Long-Beach-CA-90804/2120450407_zpid/
167,641 E Carson St APT 4,"$1,395/m",Studio1 ba 400 sqft,90807,33.831764,-118.184063,2081591221,https://www.zillow.com/homedetails/641-E-Carson-St-APT-4-Long-Beach-CA-90807/2081591221_zpid/
169,342 1/2 E 7th St # 6269127,"$1,595/m",1 bd1 ba 650 sqft,90813,33.775202,-118.188044,2082287930,https://www.zillow.com/homedetails/342-1-2-E-7th-St-6269127-Long-Beach-CA-90813/2082287930_zpid/
171,1617 E Appleton St APT 5,"$1,295/m",1 bd1 ba -- sqft,90802,33.768739,-118.171826,2110421242,https://www.zillow.com/homedetails/1617-E-Appleton-St-APT-5-Long-Beach-CA-90802/2110421242_zpid/
